id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
e1b46d0a-09b9-4e07-9288-e02a28c49586	20160131	1	715152001	900000000000534007	900000000000207008	20160131	20160131
e1b46d0a-09b9-4e07-9288-e02a28c49586	20160731	1	715152001	900000000000534007	900000000000207008	20160731	20160731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20170131	1	715152001	900000000000534007	900000000000207008	20170131	20170131
e1b46d0a-09b9-4e07-9288-e02a28c49586	20170731	1	715152001	900000000000534007	900000000000207008	20170731	20170731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20180131	1	715152001	900000000000534007	900000000000207008	20180131	20180131
e1b46d0a-09b9-4e07-9288-e02a28c49586	20180731	1	715152001	900000000000534007	900000000000207008	20180731	20180731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20190131	1	715152001	900000000000534007	900000000000207008	20190131	20190131
e1b46d0a-09b9-4e07-9288-e02a28c49586	20190731	1	715152001	900000000000534007	900000000000207008	20190731	20190731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20200731	1	715152001	900000000000534007	900000000000207008	20200731	20200731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20210731	1	715152001	900000000000534007	900000000000207008	20210731	20210731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20220731	1	715152001	900000000000534007	900000000000207008	20220731	20220731
e1b46d0a-09b9-4e07-9288-e02a28c49586	20240101	1	715152001	900000000000534007	900000000000207008	20240101	20240101
e1b46d0a-09b9-4e07-9288-e02a28c49586	20250101	1	715152001	900000000000534007	900000000000207008	20250101	20250101
e1b46d0a-09b9-4e07-9288-e02a28c49586	20260101	1	715152001	900000000000534007	900000000000207008	20260101	20250601
680f74eb-2723-4bbd-8147-66c377d18b6b	20160131	1	715152001	900000000000534007	900000000000012004	20160131	20160131
680f74eb-2723-4bbd-8147-66c377d18b6b	20160731	1	715152001	900000000000534007	900000000000012004	20160731	20160731
680f74eb-2723-4bbd-8147-66c377d18b6b	20170131	1	715152001	900000000000534007	900000000000012004	20170131	20170131
680f74eb-2723-4bbd-8147-66c377d18b6b	20170731	1	715152001	900000000000534007	900000000000012004	20170731	20170731
680f74eb-2723-4bbd-8147-66c377d18b6b	20180131	1	715152001	900000000000534007	900000000000012004	20180131	20180131
680f74eb-2723-4bbd-8147-66c377d18b6b	20180731	1	715152001	900000000000534007	900000000000012004	20180731	20180731
680f74eb-2723-4bbd-8147-66c377d18b6b	20190131	1	715152001	900000000000534007	900000000000012004	20190131	20190131
680f74eb-2723-4bbd-8147-66c377d18b6b	20190731	1	715152001	900000000000534007	900000000000012004	20190731	20190731
680f74eb-2723-4bbd-8147-66c377d18b6b	20200731	1	715152001	900000000000534007	900000000000012004	20200731	20200731
680f74eb-2723-4bbd-8147-66c377d18b6b	20210731	1	715152001	900000000000534007	900000000000012004	20210731	20210731
680f74eb-2723-4bbd-8147-66c377d18b6b	20220731	1	715152001	900000000000534007	900000000000012004	20220731	20220731
680f74eb-2723-4bbd-8147-66c377d18b6b	20240101	1	715152001	900000000000534007	900000000000012004	20240101	20240101
680f74eb-2723-4bbd-8147-66c377d18b6b	20250101	1	715152001	900000000000534007	900000000000012004	20250101	20250101
680f74eb-2723-4bbd-8147-66c377d18b6b	20260101	1	715152001	900000000000534007	900000000000012004	20260101	20250601
