id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
82bd0724-d38c-42a5-b043-f4679fcd9d23	20240701	1	718292005	900000000000508004	3311789016	900000000000548007
8ce7b1ba-7248-4bba-8a1e-69c79724f022	20240701	1	718292005	900000000000508004	3324738019	900000000000548007
a19acbee-3486-4694-a7a6-5edfd9aeb6c7	20240701	1	718292005	900000000000509007	3311789016	900000000000548007
c75573d2-07ce-4ca0-8d07-9829e72182d6	20240701	1	718292005	900000000000508004	3311788012	900000000000548007
d2e3a032-5067-4b29-84f3-f06e97078285	20240701	1	718292005	900000000000508004	3311791012	900000000000549004
ea74c650-1f74-434e-b57e-eb6ddb1afce0	20240701	1	718292005	900000000000509007	3324738019	900000000000548007
ebd23ece-36fc-434c-9ca9-4ae14443d8ea	20240701	1	718292005	900000000000509007	3324739010	900000000000548007
2793ad14-1670-494c-9f4f-0f29138bbf6d	20240701	1	718292005	900000000000508004	3324739010	900000000000548007
2c3ed7e0-b614-4264-a97d-21e0ddd9926c	20240701	1	718292005	900000000000509007	3311791012	900000000000549004
7026d9c5-2a6f-4517-bd16-d2103208e7c6	20240701	1	718292005	900000000000509007	3311788012	900000000000548007
