id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
91d109b2-ac81-429f-8889-dd15ffc115d1	20200731	1	890195008	900000000000534007	900000000000012004	20200731	20200731
91d109b2-ac81-429f-8889-dd15ffc115d1	20210731	1	890195008	900000000000534007	900000000000012004	20210731	20210731
91d109b2-ac81-429f-8889-dd15ffc115d1	20220731	1	890195008	900000000000534007	900000000000012004	20220731	20220731
91d109b2-ac81-429f-8889-dd15ffc115d1	20230731	1	890195008	900000000000534007	900000000000012004	20230731	20230731
91d109b2-ac81-429f-8889-dd15ffc115d1	20240701	1	890195008	900000000000534007	900000000000012004	20240701	20240701
91d109b2-ac81-429f-8889-dd15ffc115d1	20250701	1	890195008	900000000000534007	900000000000012004	20250701	20250701
34496f84-f10f-4247-b4b5-0e285e086281	20200731	1	890195008	900000000000534007	900000000000207008	20200731	20200731
34496f84-f10f-4247-b4b5-0e285e086281	20210731	1	890195008	900000000000534007	900000000000207008	20210731	20210731
34496f84-f10f-4247-b4b5-0e285e086281	20220731	1	890195008	900000000000534007	900000000000207008	20220731	20220731
34496f84-f10f-4247-b4b5-0e285e086281	20230731	1	890195008	900000000000534007	900000000000207008	20230731	20230731
34496f84-f10f-4247-b4b5-0e285e086281	20240701	1	890195008	900000000000534007	900000000000207008	20240701	20240701
34496f84-f10f-4247-b4b5-0e285e086281	20250701	1	890195008	900000000000534007	900000000000207008	20250701	20250701
