id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
8dcba4d2-6164-5572-9735-fb987cce3726	20240101	1	715152001	900000000000508004	3301383014	900000000000548007
a99951c2-4874-55b9-82f0-9c5b6429c0a2	20240101	1	715152001	900000000000509007	3301611012	900000000000548007
acb3c3cb-cb39-596c-b50a-bf14ecfb8ba0	20240101	1	715152001	900000000000508004	2920949017	900000000000548007
b9fb9e0b-9d55-4c4a-9352-90494ba6b26e	20240101	1	715152001	900000000000509007	3301383014	900000000000548007
fe4514b3-524e-5473-92d5-9234440b322e	20240101	1	715152001	900000000000508004	3301348010	900000000000549004
16e233d8-7dfe-4c14-b2fd-9cc2d104963d	20240101	1	715152001	900000000000509007	3301348010	900000000000549004
1ec9c828-1777-5045-9002-4f28da402700	20240101	1	715152001	900000000000509007	2920887014	900000000000548007
379acd8a-cb2c-5b53-86b4-318d1f0f0398	20240101	1	715152001	900000000000509007	2920949017	900000000000548007
6a7746d8-accd-5b18-927d-e3a91ca6066c	20240101	1	715152001	900000000000508004	3301611012	900000000000548007
75deee7d-7f2f-5e72-952a-fe2df6d3dd24	20240101	1	715152001	900000000000508004	2920887014	900000000000548007
