id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
83d24431-7cb2-42d6-aa80-ca38d25b9465	20240101	1	1157359004	900000000000508004	4580541010	900000000000548007
b3c5b550-4c1f-4426-893d-27365947e1e1	20240101	1	1157359004	900000000000509007	4580592019	900000000000549004
bbc1fdec-3706-45a0-b90e-960b35de6e64	20240101	1	1157359004	900000000000508004	4580593012	900000000000548007
dd166992-e2bf-4ce9-b82d-142d08d0b50e	20240101	1	1157359004	900000000000509007	4580591014	900000000000548007
e851daec-acc4-4ce5-a594-1ad4e635e440	20240101	1	1157359004	900000000000508004	4580542015	900000000000549004
ead90d40-b5c4-46dc-a250-6bf903b33baf	20240101	1	1157359004	900000000000509007	4580542015	900000000000549004
00923183-59c1-4c73-ab3a-29268d214982	20240101	1	1157359004	900000000000508004	4580591014	900000000000548007
3ac4ee21-5a9b-4d0e-bac6-875ac612a4b2	20240101	1	1157359004	900000000000509007	4580593012	900000000000548007
3f0aa18a-9866-422f-804e-bee6873e5857	20240101	1	1157359004	900000000000508004	4580592019	900000000000549004
415bd887-6feb-428c-a43e-0a5099ae7f97	20240101	1	1157359004	900000000000509007	4580541010	900000000000548007
6af0496e-06e3-486c-b6ae-6d2a0c38da6f	20240101	1	1157359004	900000000000508004	4580540011	900000000000548007
73d98d86-321f-4609-aa63-b8065894d94b	20240101	1	1157359004	900000000000509007	4580540011	900000000000548007
