id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
870bce78-c0cb-48f4-8ce3-784c4d807b51	20210731	1	1157359004	900000000000534007	900000000000012004	20210731	20210731
870bce78-c0cb-48f4-8ce3-784c4d807b51	20220731	1	1157359004	900000000000534007	900000000000012004	20220731	20220731
870bce78-c0cb-48f4-8ce3-784c4d807b51	20240101	1	1157359004	900000000000534007	900000000000012004	20240101	20240101
870bce78-c0cb-48f4-8ce3-784c4d807b51	20250101	1	1157359004	900000000000534007	900000000000012004	20250101	20250101
870bce78-c0cb-48f4-8ce3-784c4d807b51	20260101	1	1157359004	900000000000534007	900000000000012004	20260101	20260101
927fbcc9-4257-43d8-b359-8f9d63c5a5ff	20210731	1	1157359004	900000000000534007	900000000000207008	20210731	20210731
927fbcc9-4257-43d8-b359-8f9d63c5a5ff	20220731	1	1157359004	900000000000534007	900000000000207008	20220731	20220731
927fbcc9-4257-43d8-b359-8f9d63c5a5ff	20240101	1	1157359004	900000000000534007	900000000000207008	20240101	20240101
927fbcc9-4257-43d8-b359-8f9d63c5a5ff	20250101	1	1157359004	900000000000534007	900000000000207008	20250101	20250101
927fbcc9-4257-43d8-b359-8f9d63c5a5ff	20260101	1	1157359004	900000000000534007	900000000000207008	20260101	20260101
